pattern_id,pattern_title,seq,source,question_id,exam_year,question_no,field,category,stem_preview,static_href
1,模試 第1回,1,past,202027,2020,27,law,宅建業法,宅地建物取引業者Aが宅地の売買を媒介した場合の37条書面（売買契約書）に関する次の記述のうち、宅地建物取,q/past/y2020/q27/index.html
1,模試 第1回,2,past,202133,2021,33,law,宅建業法,宅地建物取引業者が自ら売主の場合の自己の所有に属しない物件の売買に関する次の記述のうち、正しいものはどれ,q/past/y2021/q33/index.html
1,模試 第1回,3,past,201924,2019,24,tax,税・その他,地価公示法に関する次の記述のうち、正しいものはどれか。,q/past/y2019/q24/index.html
1,模試 第1回,4,past,202114,2021,14,rights,権利関係,保証に関する次の記述のうち、民法の規定によれば、正しいものはどれか。,q/past/y2021/q14/index.html
1,模試 第1回,5,past,201927,2019,27,law,宅建業法,宅地建物取引業法に規定する宅地建物取引士に関する次の記述のうち、正しいものはどれか。,q/past/y2019/q27/index.html
1,模試 第1回,6,past,202030,2020,30,law,宅建業法,宅地建物取引業法に規定する報酬に関する次の記述のうち、正しいものはどれか（消費税考慮不要）。,q/past/y2020/q30/index.html
1,模試 第1回,7,past,202001,2020,1,rights,権利関係,AがA所有の甲土地をBに売却した場合の物権変動に関する次の記述のうち、民法の規定及び判例によれば、正しい,q/past/y2020/q01/index.html
1,模試 第1回,8,past,202107,2021,7,rights,権利関係,売買に関する次の記述のうち、民法の規定によれば正しいものはどれか。,q/past/y2021/q07/index.html
1,模試 第1回,9,past,202011,2020,11,rights,権利関係,借地借家法に規定する借地権に関する次の記述のうち、正しいものはどれか。,q/past/y2020/q11/index.html
1,模試 第1回,10,past,202226,2022,26,law,宅建業法,宅地建物取引業者Aが媒介により、売主B・買主C間の中古マンション売買契約を成立させた場合の報酬に関する次,q/past/y2022/q26/index.html
1,模試 第1回,11,past,202015,2020,15,limit,法令上の制限,都市計画法に規定する地区計画に関する次の記述のうち、正しいものはどれか。,q/past/y2020/q15/index.html
1,模試 第1回,12,past,202126,2021,26,law,宅建業法,宅地建物取引業法に規定するクーリングオフに関する次の記述のうち、正しいものはどれか。,q/past/y2021/q26/index.html
1,模試 第1回,13,past,201911,2019,11,rights,権利関係,抵当権に関する次の記述のうち、民法の規定及び判例によれば正しいものはどれか。,q/past/y2019/q11/index.html
1,模試 第1回,14,past,202026,2020,26,law,宅建業法,宅地建物取引業法に規定する保証協会に関する次の記述のうち、正しいものはどれか。,q/past/y2020/q26/index.html
1,模試 第1回,15,past,202128,2021,28,law,宅建業法,宅地建物取引業法に規定する宅地建物取引士の登録に関する次の記述のうち、正しいものはどれか。,q/past/y2021/q28/index.html
1,模試 第1回,16,past,202103,2021,3,rights,権利関係,AがA所有の甲建物についてBと賃貸借契約を締結し、BがAの承諾を得て甲建物をCに転貸した場合に関する次の,q/past/y2021/q03/index.html
1,模試 第1回,17,past,202050,2020,50,tax,税・その他,宅地・建物の統計（令和2年度試験時点）に関する次の記述のうち、最も適切なものはどれか。,q/past/y2020/q50/index.html
1,模試 第1回,18,past,202045,2020,45,law,宅建業法,宅地建物取引業法に規定する監督処分に関する次の記述のうち、正しいものはどれか。,q/past/y2020/q45/index.html
1,模試 第1回,19,past,202049,2020,49,tax,税・その他,建物の構造に関する次の記述のうち、最も不適切なものはどれか。,q/past/y2020/q49/index.html
1,模試 第1回,20,past,202123,2021,23,tax,税・その他,不動産取得税に関する次の記述のうち、正しいものはどれか。,q/past/y2021/q23/index.html
1,模試 第1回,21,past,202037,2020,37,law,宅建業法,宅地建物取引業法に規定する重要事項説明書（35条書面）の記載事項に関する次の記述のうち、正しいものはどれ,q/past/y2020/q37/index.html
1,模試 第1回,22,past,202017,2020,17,limit,法令上の制限,土地区画整理法に規定する土地区画整理事業に関する次の記述のうち、正しいものはどれか。,q/past/y2020/q17/index.html
1,模試 第1回,23,past,201908,2019,8,rights,権利関係,相続の承認と放棄に関する次の記述のうち、民法の規定によれば正しいものはどれか。,q/past/y2019/q08/index.html
1,模試 第1回,24,past,202115,2021,15,limit,法令上の制限,都市計画法に規定する地域地区に関する次の記述のうち、正しいものはどれか。,q/past/y2021/q15/index.html
1,模試 第1回,25,past,202116,2021,16,limit,法令上の制限,建築基準法に規定する容積率に関する次の記述のうち、正しいものはどれか。,q/past/y2021/q16/index.html
1,模試 第1回,26,past,202101,2021,1,rights,権利関係,AがBに対して有する債権の担保として、A・B間でAを抵当権者、B所有の甲土地に抵当権を設定した場合に関す,q/past/y2021/q01/index.html
1,模試 第1回,27,past,202141,2021,41,law,宅建業法,宅地建物取引業法に規定する宅建業者の業務に関する次の記述のうち、正しいものはどれか。,q/past/y2021/q41/index.html
1,模試 第1回,28,past,201906,2019,6,rights,権利関係,売主の担保責任（契約不適合責任）に関する次の記述のうち、民法の規定によれば正しいものはどれか。,q/past/y2019/q06/index.html
1,模試 第1回,29,past,201934,2019,34,law,宅建業法,宅地建物取引業者の報酬に関する次の記述のうち、正しいものはどれか（消費税考慮不要）。,q/past/y2019/q34/index.html
1,模試 第1回,30,past,202029,2020,29,law,宅建業法,宅地建物取引業法に規定する重要事項説明に関する次の記述のうち、正しいものはどれか。,q/past/y2020/q29/index.html
1,模試 第1回,31,past,201903,2019,3,rights,権利関係,物権変動の対抗要件に関する次の記述のうち、民法の規定及び判例によれば正しいものはどれか。,q/past/y2019/q03/index.html
1,模試 第1回,32,past,201914,2019,14,rights,権利関係,建物の区分所有等に関する法律（区分所有法）に関する次の記述のうち、正しいものはどれか。,q/past/y2019/q14/index.html
1,模試 第1回,33,past,202002,2020,2,rights,権利関係,Aが死亡し、相続人がB・C・Dの3名（各法定相続分3分の1）である場合に関する次の記述のうち、民法の規定,q/past/y2020/q02/index.html
1,模試 第1回,34,past,202048,2020,48,tax,税・その他,土地の地盤に関する次の記述のうち、最も不適切なものはどれか。,q/past/y2020/q48/index.html
1,模試 第1回,35,past,201948,2019,48,tax,税・その他,土地に関する次の記述のうち、最も不適切なものはどれか。,q/past/y2019/q48/index.html
1,模試 第1回,36,past,202028,2020,28,law,宅建業法,宅地建物取引業法に規定する媒介契約書面に関する次の記述のうち、正しいものはどれか。,q/past/y2020/q28/index.html
1,模試 第1回,37,past,201444,2014,44,law,宅建業法,宅地建物取引業法(以下、本問では「法」という。)の規定に基づく監督処分についての以下の記述のうち、誤って,q/past/y2014/q44/index.html
